Stop ID,Link ID,X,Y
270707267,24913032#1,734395.23,5698331.08
3093019153,-304714827#0,734546.1000000001,5700081.279999999
31934457,16239833#4,734849.8500000001,5699540.47
3093019154,304714823#0,734598.31,5700134.79
59603269,8566547#2,735199.45,5699526.41
1362011012,-11104452,736100.72,5700047.38
1362011011,138336395,736105.7,5700037.13
261722113,24161245#0,732384.18,5696862.029999999
123912443,13482178,735346.89,5699049.5
2578114731,11104860#0,735958.65,5699960.01
59603271,-170402222,734709.6100000001,5699655.47
283192838,26399471,732384.28,5700060.96
59603275,759361313#4,735294.3600000001,5699560.46
59603396,305051343#1,734583.23,5699735.63
59603274,305061981,735106.65,5699490.2299999995
3096304356,305061987#1,734799.27,5699593.609999999
93809958,10639968,731225.3500000001,5697626.779999999
3093019155,-304714823#0,734535.41,5700112.05
93809956,-10639968,731215.68,5697434.91
3093019156,304714826#1,734608.67,5700104.88
913936707,211255726,736134.75,5699194.149999999
30237316,125111071#0,734333.16,5699677.14
59603277,62238133#0,735517.93,5699533.26
5775837671,53016283,731654.78,5697492.41
59603276,-305051346,735480.8400000001,5699633.149999999
98988030,-224636937,736683.87,5699961.89
270707278,24913032#0,734474.8200000001,5698356.5
6551714936,11648270,734527.47,5698583.109999999
31036081,211244650#0,736385.93,5699675.08
3096195837,-305051340#0,735045.25,5699909.609999999
3092250829,-304650315#0,735767.5800000001,5700039.069999999
1516723577,-579514681,736344.13,5699926.97
4310157259,-552868758,734177.04,5700114.72
59603282,16239819#0,735223.97,5699840.109999999
9546963700,-1036237828,734239.49,5698392.06
93809966,24233150#1,731581.9,5698789.399999999
cluster_145912340_145912343,185487527#0,732231.3,5699201.12
59603248,16239833#3,734747.66,5699503.24
cluster_375899076_4179661998,33180685#8,730843.4,5698496.72
4798784377,-487418368#0,731886.37,5698354.359999999
3096195845,28210410#2,735388.48,5699903.569999999
4798784375,24262496#1,731889.92,5698329.08
319066498,29012072#0,734112.97,5698706.92
4310157252,26003610,734330.88,5700176.8
6044046562,37704014#1,732364.3500000001,5698935.7299999995
317664929,252760507#0,733499.4,5700180.34
4310157256,26003649#1,734226.51,5700137.6
59603252,16239833#6,735042.14,5699612.949999999
59603251,4744884#1,734537.3300000001,5699627.24
59603250,34205823#1,734619.3400000001,5699595.25
59603257,6188091#1,734588.79,5699151.359999999
59603256,16239833#1,734601.8300000001,5699447.56
59603255,34205823#0,734578.46,5699502.859999999
1516723228,138336696,732565.93,5700101.51
3093019162,304714825#1,734669.67,5700124.529999999
671938508,53016297#0,731590.99,5697399.49
954729913,-30824907#0,732339.17,5698600.199999999
3093019164,304714822,734661.66,5700065.16
59603259,7971655#2,735144.39,5699392.02
59603258,7971655#1,734960.5,5699312.29
319064189,29011919#1,734209.43,5700023.92
cluster_262686725_342283317,-30824909,732329.43,5698674.97
671494575,27230847#0,731589.73,5697232.359999999
4310157243,-26003649#0,734714.5700000001,5700329.62
954729919,30172534#1,732188.3600000001,5698509.62
4310157237,304714823#1,734673.55,5700160.16
270746876,24916956#0,735320.78,5699263.199999999
cluster_317665513_5803901816,161196134#4,733752.66,5700282.83
26518478,-314483699#0,731236.25,5696759.97
59603264,759361313#6,735158.78,5699796.819999999
59603262,305051340#1,734927.51,5699745.1
270707067,10873227#2,734465.15,5698258.99
3093019166,-304714822,734624.74,5700060.42
59603268,16239833#7,735137.46,5699649.63
59603267,305051340#0,734985.5700000001,5699825.859999999
270707065,10873227#1,734535.75,5698304.319999999
59603266,826572193#1,735072.5900000001,5699738.8
59603265,826572193#2,734989.89,5699682.7299999995
6527908228,-694957448,732231.66,5698784.1
6527908224,37704015#0,732244.13,5698733.3
256944653,-220390863,734245.91,5699363.85
cluster_262382577_262680886,24232909,731067.55,5698561.51
2587885170,-158203751,734907.51,5698796.49
276830088,24232759#0,731055.53,5697842.819999999
319064291,29011919#0,734069.53,5699972.46
4807072162,-488399777#0,731870.8500000001,5698453.35
31950738,321597230,735965.73,5699143.31
4807072161,487418368#1,731875.54,5698423.109999999
165206211,211243690,735903.0900000001,5699761.7299999995
3840389883,-408314179#0,731441.31,5697622.12
2136714155,26859588#0,731844.63,5697399.819999999
82688110,-25968896,731258.9,5696968.24
cluster_2587885154_4585250847,-16237031,735386.38,5699206.74
270707232,24913008#0,734490.56,5698444.33
309247851,28154951#0,730848.23,5697776.26
cluster_317670326_4807018906,1043280133,732911.2,5700179.149999999
294925787,203511252,731760.88,5698108.1899999995
cluster_6384906954_6384906955,488399778#0,731873.43,5698438.51
165156263,321597243#1,735706.87,5699704.71
256944664,62238145,734393.3600000001,5699322.39
4494216775,28289523#2,731466.69,5697290.55
cluster_2166018886_4798784381,487418367#0,731888.26,5698342.1
270746811,24916926#0,735290.0700000001,5699343.72
4710983104,-1036237829,733142.67,5697874.199999999
262686732,36983528#0,732177.37,5698575.56
2587885158,-4899987,734897.24,5699011.5
79830587,-14784098#0,733902.25,5698280.449999999
262686734,-487418662#0,732053.44,5698556.069999999
319067424,29012149#0,733940.46,5698612.29
59973373,-8021773#0,731313.43,5696728.16
59973374,-25385862,731361.75,5697140.81
954729825,-81921013,732197.9,5699137.22
283699292,-26003610,734364.6000000001,5700085.9799999995
93809972,-14779297,732228.8,5698982.12
93809971,-10639970#0,732211.51,5698977.359999999
566285833,989174785,736054.24,5699549.71
319062099,26003614#1,734586.29,5700201.81
31934392,4899998#0,734770.43,5699231.449999999
31036070,11104452,736121.62,5700111.68
3282493119,28900224#1,732226.8600000001,5699969.819999999
313054164,24912998#4,734019.8600000001,5698110.699999999
cluster_1294780283_1294780304_1390346817_2587885195_#2more,-93420199#1,734885.27,5698783.01
270746722,-24916956#0,735372.12,5699281.26
262681199,-24262168,731161.93,5698591.17
4806146363,30824903,732386.43,5698508.08
262381572,-24232832#0,730935.14,5697880.9799999995
1390346806,31353403#0,734907.51,5698796.49
165206208,111992272,735751.19,5699718.24
3095941259,135753950#0,734501.74,5699865.04
3253557151,28418172#0,737521.28,5700807.27
31036066,11104860#1,735980.06,5699883.97
385297659,220390863,734328.4,5699325.52
319070802,-29012382,734649.72,5699314.819999999
96621510,1036237826#0,734426.3500000001,5698485.39
671494894,-53016305,731617.05,5697446.67
3802456420,-376869365#0,731284.95,5697202.34
1362031028,304327744#0,736182.3600000001,5699771.029999999
256944649,-269949566#0,733456.05,5699073.85
96621503,-10873227#0,734566.1100000001,5698470.6899999995
96621505,-24913008#0,734448.71,5698429.79
1362031025,44595462,736281.46,5699771.55
256944644,125111191,732768.23,5698952.76
cluster_145966050_145966054,307899692#1,734812.98,5698882.62
177223042,-17066997,732421.51,5696785.449999999
cluster_313053323_313053325,24913037#2,734665.17,5698193.38
262381581,27181648#1,731264.81,5697778.46
270698818,188961878#7,735551.95,5698532.89
4121757373,28496366#0,734357.2,5697973.3
954729886,-81920975#0,732183.1100000001,5698544.609999999
4798787466,36983528#1,732068.78,5698558.359999999
5163299285,33223055,732120.42,5697533.81
268659276,24718291#0,732814.45,5697785.59
cluster_317672616_332473553,37704012#0,731447.77,5698109.63
261706031,17066997,732477.24,5696793.02
261706032,24161220#0,732467.75,5696822.84
165155708,-16239819#0,735306.98,5699714.529999999
2359931584,227282486,733708.87,5697813.54
2570665951,103699412,736761.28,5699847.9799999995
261706150,24161231#0,732438.0800000001,5697106.1
430080787,24262170,731241.12,5698614.08
270746465,-24916926#0,735356.72,5699368.83
59603793,257441265,735837.19,5699106.029999999
6545856687,-1036237826#0,734337.24,5698432.6899999995
260624685,-24031827,731556.12,5698802.05
33600056,16239839#3,735924.8,5699169.649999999
675610040,-28427312#0,734352.97,5698110.87
94040244,10652096#3,733193.05,5698526.649999999
283699261,26003626,734649.3300000001,5700254.49
2841902111,-280014253,732193.8600000001,5699967.399999999
2683229218,-4899998#0,734797.14,5699163.92
671494993,-53016304,731632.5800000001,5697500.39
262380276,-24232666#0,731103.3500000001,5698293.109999999
312170693,28418107#1,737404.6100000001,5700255.58
317666966,27697508#0,732388.8500000001,5699984.91
319067987,11648269#6,734055.4,5698496.04
59751455,25968895,731187.95,5696982.39
59751454,28923715,731148.78,5696781.92
319067986,-29012194,734001.8600000001,5698645.9399999995
7054827328,-1026104056#0,737635.47,5700309.62
94040252,10652097,733148.01,5698249.05
262382576,-24232909,731080.31,5698439.569999999
145912363,270794281,732450.52,5699562.9799999995
290705349,-175910430,734637.8300000001,5698924.9399999995
cluster_12352371_59973333,-8021732#0,731382.87,5696693.4799999995
cluster_671494706_671494712,-53016239,731595.92,5697324.9399999995
276685441,25385862,731279.78,5697156.109999999
268659254,-24718291#0,733120.0800000001,5697897.84
671494962,609802527#6,731636.31,5697462.85
145970331,261838003,733874.54,5698186.04
309850884,-824551012,734828.01,5699382.76
cluster_165155770_165155797_165156118_165156144_#8more,16239839#3,735924.8,5699169.649999999
319066645,-29012101#0,733869.27,5698574.37
94040227,-10652096#0,732893.27,5698347.4799999995
283699240,-29011615#0,734524.54,5700143.33
98985380,28417993,737481.8500000001,5700777.39
319063375,-29011835,734665.03,5699935.66
98987323,-28418097,737481.1000000001,5700314.6
98987322,158203754#2,737235.2,5700124.1899999995
270706804,24913037#1,734600.42,5698246.41
312171876,-28418229,735832.39,5700006.4799999995
33600192,304327744#1,736112.46,5699804.14
165091283,16237031,735603.8200000001,5699301.43
cluster_1488581931_270746595,-135543449,735175.1100000001,5699301.069999999
2750638589,37790127,734779.12,5698606.59
145970327,14784098#0,733862.45,5698223.59
294929133,26861063#0,731765.13,5698595.88
270746598,24916926#6,734997.66,5699216.75
30256387,-28899673,734476.91,5699281.04
294925952,-26859588#0,731853.16,5697293.71
283699236,26901809#1,734333.8300000001,5700069.99
423772991,24161217#2,732694.68,5696903.43
98985379,173182941,737558.42,5700716.34
18345270,13482180#0,735868.88,5699113.31
260624236,24031712#0,731387.8500000001,5698461.08
294925958,-203511252,731846.3500000001,5697524.109999999
423772994,-36330884#1,732711.64,5696857.01
145966042,307899692#0,734686.3600000001,5698822.779999999
312296383,28425474#0,737574.63,5701017.97
1972649280,30824157,731296.8400000001,5697308.7299999995
270707070,10873227#3,734379.78,5698252.97
312171111,28418138#1,737470.8400000001,5700889.74
312171110,28418138#0,737436.8300000001,5700864.91
262684720,-28900327#0,731903.69,5698596.1
270707196,24913029#1,734515.44,5698105.4799999995
319066500,11648269#8,734172.3400000001,5698537.6
270707073,10873227#4,734304.62,5698290.359999999
cluster_1832293177_2587920392_5803901820_5803901821,161196134#2,733529.73,5700096.6899999995
262684724,28900327#2,731880.91,5698742.069999999
270707197,24913029#2,734534.95,5698093.75
3096907867,305051340#3,734859.5700000001,5699652.27
cluster_313053679_313054706,24913029#3,734558.3600000001,5698025.6
317672084,36466903,731985.31,5697361.56
317672082,28900661,731921.44,5697525.31
317672081,26859079#1,731832.77,5698107.18
299795433,27311366,735809.3500000001,5699916.399999999
1832293179,-252760507#0,733511.8,5700125.7299999995
123912411,463276039,735011.0800000001,5698915.25
433472561,36816799,733469.99,5698465.1
1815444841,170402222,734758.0,5699801.87
123912416,-303677120,735015.28,5698942.3
262681200,24262168,731144.42,5698698.24
294929078,26860824#2,731962.41,5698355.58
262684711,24262453,732312.3500000001,5698786.58
2674593520,26327429#4,733885.7,5698120.31
6035154448,640656655,731256.65,5697281.6899999995
2674593521,-261838003,733869.01,5698169.6899999995
294929074,24262496#0,731895.7,5698290.41
262684715,37704015#1,732158.71,5698667.04
342283046,-30824903,732359.74,5698504.13
342283287,30824907#1,732369.71,5698597.85
145912440,-1036237822,733928.1000000001,5700425.02
3205322589,25968896,731239.46,5696797.58
283699334,-26003614#0,734566.75,5700254.17
2963360296,292800066,732732.06,5699877.33
918346659,-640656662,731232.72,5697293.5
283700168,26003614#0,734575.9,5700229.99
3131299967,307899688#0,733608.72,5698693.8
79830635,-463276032,734547.21,5698528.1
145912448,1036237821,734017.22,5700449.819999999
104126030,11648269#11,734500.5800000001,5698655.55
319066840,29012101#2,734024.21,5698657.75
4807019042,161196134#5,733879.74,5700398.9799999995
312171319,28418166#1,737569.55,5700764.16
309629278,28189686#0,733909.75,5698161.37
312171315,28418166#0,737542.93,5700835.68
123912437,-303677108,735036.3200000001,5698933.06
262681348,-24262170,731220.31,5698722.83
145970401,1036237829,733368.1100000001,5698112.26
270746792,24916926#1,735229.21,5699320.9399999995
261706142,-24161221#0,732275.8600000001,5697238.319999999
954729796,35115962,732920.04,5698309.06
298859334,269949566#0,733524.17,5699098.9799999995
428328648,16239833#0,734525.42,5699417.55
319054729,24912998#8,733776.46,5697862.66
cluster_262380943_4566418202,30824161#0,731119.54,5697981.8
342282970,-24262586,732400.76,5698424.37
5186291679,586568080#2,737761.1000000001,5700555.84
1487934554,-135476460,735059.52,5699245.49
1490359332,-135753950#0,734622.03,5699831.779999999
262381193,24232759#1,731114.05,5697946.319999999
262686268,-24262623,732206.17,5698393.52
1487934435,-24718291#2,732798.42,5697754.899999999
334933550,273139726,732966.26,5698961.699999999
495558787,252757154#1,734395.8400000001,5700096.67
5186291676,24658131,737755.3500000001,5700537.14
270698463,188961878#2,735191.3200000001,5698493.25
5186291678,-534889918#0,737753.73,5700545.529999999
276830440,24232783,731142.51,5697815.21
5186291680,-534889921,737776.23,5700552.9799999995
276256236,317486804,733455.42,5697597.3
392288790,16239820#0,735301.93,5699875.91
342279566,37704015#4,731982.62,5698616.71
291729156,13862740#1,736048.05,5699572.2299999995
904827517,16239833#14,735559.73,5699808.359999999
984445272,-350820395,732723.28,5696844.52
904827515,28210410#0,735531.3200000001,5699721.12
294925085,36733154,731367.56,5698109.97
cluster_29941141_7125438369_7125438370,25959831,730987.4,5697539.17
1487934440,1036237830,733413.12,5698141.949999999
2168769118,-28900388,732111.5,5698651.85
cluster_283699263_4310157239,29011615#3,734664.26,5700188.68
392288789,16239833#5,734945.64,5699576.319999999
cluster_1197261911_31036074,158203752,736587.28,5699756.109999999
317669836,10652096#2,733100.99,5698485.92
428328662,36846894,734575.26,5699285.699999999
1487934559,-135476459,735115.89,5699272.5
3282493095,28900224#2,732318.43,5699977.399999999
312296872,28425519,737715.26,5701135.37
317668743,37704015#3,732054.8600000001,5698636.49
262384599,24233193,731502.42,5698535.2299999995
270698567,24912511#4,735251.8400000001,5698775.43
294926267,-26859928,731754.93,5697233.16
312171805,27311367#0,735781.0800000001,5699991.31
312171926,-28418231,735728.72,5699975.649999999
4807019075,161196134#0,733380.18,5700022.529999999
270698562,188961878#3,735278.06,5698506.13
679172764,408314179#0,731422.99,5697582.62
98983014,-28425519,737802.81,5701049.399999999
4409679796,-640656660,731330.05,5697247.7299999995
427507316,24262336,732368.92,5698830.06
1727171209,-185487527#1,732213.87,5699171.06
cluster_671494666_671494667,52458486,731591.14,5697278.54
82687765,-640656653,731338.7,5696949.76
317669947,28900469#0,733039.29,5698279.67
cluster_317667305_317667367,-172313472,732276.29,5700073.18
262383035,24232666#1,730899.54,5698446.71
294925184,26859079#0,731919.89,5698108.52
317669941,10652096#1,733024.91,5698447.449999999
262686273,24262623,732192.92,5698479.1899999995
294926134,-33223060,732115.03,5697427.97
294926135,-33223055,732147.53,5697444.91
984445368,36340912,731347.5800000001,5697239.1899999995
262383040,-28900620,730916.06,5698515.56
262384372,24233155,731408.51,5698662.5
294926136,-33223044,732211.62,5697477.46
298858608,-27231029#0,731410.98,5697572.08
298858609,28289523#0,731468.18,5697505.529999999
165155754,16239831,735478.38,5699386.5
165155755,-16239832#0,735361.31,5699342.9399999995
2674602754,-261839174#1,734435.78,5698457.49
165155750,16239830,735445.13,5699373.52
5041574293,-28418189,736558.9,5699798.199999999
312169608,28417984#2,737338.05,5700267.14
2315604022,-222608277,734681.04,5699974.6
165155757,16239833#12,735431.29,5699762.66
262680979,-24262158,730994.81,5698539.04
3092250496,27311367#1,735771.87,5700025.13
312169604,-28417984#0,737137.15,5700446.77
317665695,28900104,733783.5700000001,5700172.17
1491498439,-135882082,733688.27,5697799.46
6579835627,24912998#0,734299.45,5698382.6899999995
145912389,-161196134#0,732808.0800000001,5699917.64
270706811,28427312#0,734362.9,5698167.99
6222281533,664758125,737336.94,5700203.47
270706817,24913013,734332.3200000001,5698389.47
cluster_31952479_31952511,-211255726,736136.18,5699180.819999999
165155744,16239828,735512.43,5699399.26
cluster_165155736_165155756,16239825,735563.3,5699410.62
433472606,4899998#1,734728.49,5699344.85
1533283403,-318954493#0,737574.81,5700379.55
165155747,16239829,735410.65,5699360.99
264729734,-125111191,732672.99,5698949.68
2631167832,28417765,737035.5800000001,5700238.9799999995
261706992,-640656651,732671.81,5696732.83
433472604,-825850973,734921.42,5699419.35
270698394,188961878#0,735109.4,5698462.199999999
283699981,29011615#2,734645.4,5700223.42
954730044,14779297,732197.3200000001,5699114.819999999
9460484135,-318954493#1,737598.62,5700351.96
165155731,16239824,735553.42,5699439.08
312170654,-28418107#0,737360.47,5700221.58
2629687548,-257441265,735600.64,5699144.4799999995
3578661710,-640656642,731291.6000000001,5697396.6899999995
342279416,28900327#1,731893.5,5698646.96
3094226563,26901809#0,734399.63,5699882.92
313053862,24912998#1,734148.62,5698222.029999999
1491498433,135882082,733680.92,5697794.449999999
319063746,832174363,735012.3200000001,5699451.93
262383070,24232666#0,731022.5900000001,5698358.62
319073624,24916926#7,734951.27,5699195.08
3444639037,172313465,732434.8600000001,5699513.199999999
94040257,-11648269#0,733027.99,5698130.24
3444639038,24233209,732403.03,5699514.72
94040254,10652099#1,733166.01,5698178.97
260627925,30824409,731552.8,5698707.41
427949978,11648269#3,733526.92,5698307.609999999
427949977,11648269#2,733426.3200000001,5698271.21
4806146928,-488296143#0,732266.54,5698662.85
2674603904,-261839358,734365.24,5698401.59
312171845,-28418224#0,735773.38,5699989.1
3444639032,-337371770#1,732412.1000000001,5699502.9799999995
6313250687,28427313#1,734319.27,5698181.52
312171846,28418224#1,735787.8400000001,5699993.2299999995
98985873,-173182941,737203.62,5700393.97
261721802,-24162879,732327.93,5697008.3
261721803,24161245#1,732311.3600000001,5696896.24
428332873,16239833#10,735338.1000000001,5699726.0
1704363753,-304327744#0,736296.74,5699718.3
298330298,27181648#0,731225.93,5697642.04
294928491,26860824#0,731801.29,5698364.83
313053995,-261838000,734240.72,5697978.58
313053997,24912998#3,734083.77,5698166.1
294928496,26860664#2,731866.13,5698483.37
294928495,26860824#1,731880.13,5698392.4799999995
165155726,16239823,735539.89,5699475.83
2295173263,-25958960,734176.99,5699346.67
984445441,350820395,732732.5,5696833.4399999995
270698378,24912511#0,735016.69,5698664.97
cluster_31036064_31036065,436999736#0,735998.65,5699796.3
312170988,-28418138#0,737410.3600000001,5700838.279999999
3444639045,337371769,732426.12,5699532.4799999995
1840128947,173182939,737265.9,5700343.6
3444639046,337371774,732416.0900000001,5699533.77
cluster_89106545_89110070,-9874959#1,732486.06,5698112.91
283699725,160682246,734459.8,5700119.83
145970364,14784098#1,733755.47,5698188.83
165155712,-16239820#0,735370.23,5699738.35
cluster_312169565_98987321,1028767813,737201.21,5700107.06
671495062,-53016283,731657.2,5697566.87
cluster_12351915_1820624355_3802456410_3802456411_#2more,350820394,732790.53,5696855.029999999
428332862,36846950,735385.0700000001,5699596.9799999995
165155717,16239833#13,735504.72,5699790.4799999995
3094226582,252757154#0,734448.19,5699952.1
1742636872,-162355584,734249.29,5698225.59
342277696,-28154951#0,730761.63,5697715.24
165155715,-28210410#0,735553.99,5699662.4799999995
