Stop ID,Link ID,X,Y
5167098588,-532494273,739585.72,5689458.6
309167606,1047588427,740593.76,5688448.27
367991758,32703415#0,739258.51,5689254.29
309167603,26588307#1,740431.17,5688499.149999999
1408551421,127208834#2,738838.41,5689335.58
269269105,-24781420#0,740953.73,5687969.62
269269106,24781420#0,740976.12,5687935.55
2982186710,-294623783#0,739026.21,5687781.81
cluster_2423943261_242606711,22617096#2,739148.02,5687931.64
1854419607,174780705,740654.53,5689240.51
289404795,173219888#0,739886.1000000001,5690706.109999999
307133527,-27957234,740273.91,5687844.0
6296773405,127208834#3,738845.6100000001,5689345.87
1854419608,174780706#1,740661.74,5689278.63
cluster_310817086_938291557,-376817794,738540.69,5689483.41
6296773406,127208834#4,738845.05,5689351.0
310819006,28304337#0,738945.5700000001,5689232.069999999
242614623,22617147,739827.94,5687545.31
309167611,59295362#2,740789.96,5688597.16
2302953346,221249244#3,738881.05,5688708.9399999995
69426739,-26261634#0,741491.3300000001,5689705.9799999995
196142000,18950703#2,738740.72,5687984.59
1408551412,127208834#1,738832.42,5689334.7299999995
309167621,28148359,741511.5700000001,5688372.42
4527089225,-264308026,741255.8500000001,5689601.89
2590098578,26261873,740533.18,5690683.63
1999714707,-189332412#0,741473.3400000001,5689437.05
313745986,-173383319,739215.89,5688974.08
291583884,-26588323,741017.31,5688368.87
336759467,-22617167,739001.55,5688998.569999999
291584887,-26588413,740606.29,5688820.91
310819570,173383320#5,739345.19,5688950.83
286753097,26187074#1,740396.8300000001,5690590.27
310598057,28283292#0,739264.78,5690651.62
1834068455,174782063,740654.79,5689314.49
1834068453,-251388156#0,740259.76,5688678.64
1847656748,-32703597#1,739589.66,5689085.49
310818368,-173383995,739089.22,5689174.449999999
307133511,-29183701#0,740160.14,5687956.26
242611245,22617130#0,739369.43,5687283.5
2590098571,59295402#1,740541.5,5689151.62
307133507,-31026091#0,739907.5900000001,5688182.7299999995
242614759,22617148,739819.79,5687642.37
6296773422,294623782#1,738869.8300000001,5688832.6
3802007894,31026090#6,739254.53,5688742.699999999
289404774,173219888#1,739965.28,5690666.29
3802007895,-376817793#0,739249.21,5688857.17
3802007898,264741339,738851.9,5689048.699999999
6811928576,26414667#0,740038.01,5690878.359999999
6811928577,28282669#0,739967.23,5690879.92
2582530838,-112355885,738398.0700000001,5688117.68
366351579,786158259,739659.75,5689497.33
4209672531,31026090#2,739474.87,5688519.67
287616603,155770508#0,740880.5900000001,5689942.58
2590098564,-172507385#0,740511.3200000001,5689135.18
